央视,#genre#
内蒙古卫视,http://111.8.242.103:9999/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://111.8.242.103:9999/tsfile/live/1056_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://111.8.242.103:9999/tsfile/live/1057_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://111.8.242.103:9999/tsfile/live/1058_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://111.8.242.103:9999/tsfile/live/1059_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://111.8.242.103:9999/tsfile/live/1060_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://111.8.242.103:9999/tsfile/live/1062_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://111.8.242.103:9999/tsfile/live/1068_1.m3u8?key=txiptv&playlive=1&authid=0
兵团卫视,http://111.8.242.103:9999/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://111.8.242.103:9999/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://111.8.242.103:9999/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://111.8.242.103:9999/tsfile/live/1066_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://111.8.242.103:9999/tsfile/live/1067_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://111.8.242.103:9999/tsfile/live/1069_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://111.8.242.103:9999/tsfile/live/1071_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://111.8.242.103:9999/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
陕西卫视,http://111.8.242.103:9999/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
新疆卫视,http://111.8.242.103:9999/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0
宁夏卫视,http://111.8.242.103:9999/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
青海卫视,http://111.8.242.103:9999/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视高清,http://111.8.242.103:9999/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视4K,http://175.0.71.13:8989/rtp/239.76.254.137:9000
湖南卫视4K,http://175.0.71.13:8989/rtp/239.76.253.214:9000
湖南卫视4K,http://175.0.71.13:8989/rtp/239.76.253.100:9000
湖南卫视4K,http://175.0.71.13:8989/rtp/239.76.246.100:1234
湖南卫视4K,http://175.0.71.13:8989/rtp/239.76.246.63:1234
湖南卫视4K,http://175.0.71.13:8989/rtp/239.76.253.62:9000
山东卫视4K,http://175.0.71.13:8989/rtp/239.76.254.228:9000
江苏卫视4K,http://175.0.71.13:8989/rtp/239.76.254.216:9000
江苏卫视,http://175.0.71.13:8989/rtp/239.76.246.181:1234
浙江卫视,http://175.0.71.13:8989/rtp/239.76.246.182:1234
浙江卫视,http://175.0.71.13:8989/rtp/239.76.253.182:9000
东方卫视,http://175.0.71.13:8989/rtp/239.76.246.186:1234
深圳卫视,http://175.0.71.13:8989/rtp/239.76.246.188:1234
深圳卫视,http://175.0.71.13:8989/rtp/239.76.253.188:9000
北京卫视,http://175.0.71.13:8989/rtp/239.76.253.184:9000
山东卫视,http://175.0.71.13:8989/rtp/239.76.253.195:9000
天津卫视,http://175.0.71.13:8989/rtp/239.76.253.185:9000
天津卫视,http://175.0.71.13:8989/rtp/239.76.246.185:1234
贵州卫视,http://175.0.71.13:8989/rtp/239.76.252.198:9000
云南卫视,http://175.0.71.13:8989/rtp/239.76.254.60:9000
广西卫视,http://175.0.71.13:8989/rtp/239.76.254.54:9000
黑龙江卫视,http://175.0.71.13:8989/rtp/239.76.246.200:1234
安徽卫视,http://175.0.71.13:8989/rtp/239.76.245.196:1234
江西卫视,http://175.0.71.13:8989/rtp/239.76.245.225:1234
陕西卫视,http://175.0.71.13:8989/rtp/239.76.254.76:9000
东南卫视,http://175.0.71.13:8989/rtp/239.76.245.190:1234
吉林卫视,http://175.0.71.13:8989/rtp/239.76.253.201:9000
辽宁卫视,http://175.0.71.13:8989/rtp/239.76.245.197:1234
辽宁卫视,http://175.0.71.13:8989/rtp/239.76.252.197:9000
湖南卫视,http://175.0.71.13:8989/rtp/239.76.245.115:1234
湖南卫视,http://175.0.71.13:8989/rtp/239.76.246.101:1234
湖南卫视,http://175.0.71.13:8989/rtp/239.76.252.115:9000
湖南卫视,http://175.0.71.13:8989/rtp/239.76.253.101:9000
广东卫视,http://175.0.71.13:8989/rtp/239.76.252.189:9000
广东卫视,http://175.0.71.13:8989/rtp/239.76.245.189:1234
河南卫视,http://175.0.71.13:8989/rtp/239.76.253.202:9000
河南卫视,http://175.0.71.13:8989/rtp/239.76.246.202:1234
河北卫视,http://175.0.71.13:8989/rtp/239.76.245.199:1234
河北卫视,http://175.0.71.13:8989/rtp/239.76.252.199:9000
宁夏卫视,http://175.0.71.13:8989/rtp/239.76.252.107:9000
甘肃卫视,http://175.0.71.13:8989/rtp/239.76.253.94:9000
新疆卫视,http://175.0.71.13:8989/rtp/239.76.252.109:9000

台湾,#genre#
中天新闻,http://67.220.67.246:2347/livehttpplay?channel_id=20163
中天新闻,http://208.87.242.79/livehttpplay?channel_id=20163
中天新闻,http://220.135.64.124:5050/of-4gtv-4gtv009/index.m3u8?proxy=true
中天新闻,http://free.cnlive.club/channel/41d8a09d.m3u8?q=111.170.171.148
中天新闻,http://nmk.ioapk.com:5050/of-4gtv-4gtv009/index.m3u8?proxy=true
东森超市,http://38.64.72.148:80/hls/modn/list/2013/chunklist1.m3u8
ETV,http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8
东森新闻,http://208.87.242.79/livehttpplay?channel_id=20082
天元围棋,http://111.8.242.103:9999/tsfile/live/1082_1.m3u8?key=txiptv&playlive=1&authid=0
手游/JJ斗地主专场,https://isus.cc/php/huya.php?id=30814433
手游/欢乐斗地主专场,https://isus.cc/php/huya.php?id=21103928
凤凰中文,http://rihou.cc:555/tv/[SX]凤凰中文
凤凰中文,https://cdn9.163189.xyz/smt3.1.1.php?id=phoenixtv_hd

其它,#genre#
福建卫视,http://171.120.249.236:9003/hls/24/index.m3u8
内蒙卫视,http://171.120.249.236:9003/hls/38/index.m3u8
BTV文艺,http://114.241.107.24:85/tsfile/live/17/1017_1.m3u8?key=txiptv
BTV科教,http://114.241.107.24:85/tsfile/live/18/1018_1.m3u8?key=txiptv
BTV影视,http://114.241.107.24:85/tsfile/live/19/1019_1.m3u8?key=txiptv
BTV财经,http://114.241.107.24:85/tsfile/live/20/1020_1.m3u8?key=txiptv
4K超清,http://114.241.107.24:85/tsfile/live/21/1021_1.m3u8?key=txiptv
BTV生活,http://114.241.107.24:85/tsfile/live/22/1022_1.m3u8?key=txiptv
BTV新闻,http://114.241.107.24:85/tsfile/live/24/1024_1.m3u8?key=txiptv
BTV体育,http://114.241.107.24:85/tsfile/live/25/1025_1.m3u8?key=txiptv
潇湘电影,http://111.8.242.103:9999/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
怀化综合,http://111.8.242.103:9999/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
怀化公共,http://111.8.242.103:9999/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
溆浦时政,http://111.8.242.103:9999/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
辰溪综合,http://111.8.242.103:9999/tsfile/live/1110_1.m3u8?key=txiptv&playlive=1&authid=0
重温经典,http://111.8.242.103:9999/tsfile/live/1054_1.m3u8?key=txiptv&playlive=1&authid=0
欢笑剧场,http://111.8.242.103:9999/tsfile/live/1040_1.m3u8?key=txiptv&playlive=1&authid=0
都市剧场,http://111.8.242.103:9999/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&authid=0
动漫剧场,http://111.8.242.103:9999/tsfile/live/1051_1.m3u8?key=txiptv&playlive=1&authid=0
宁乡戏曲,http://111.8.242.103:9999/tsfile/live/1076_1.m3u8?key=txiptv&playlive=1&authid=0
